language1;lex1;lex_utf81;voc_lex_utf81
Hebrew;B;ב;בְּ
Hebrew;R>CJT/;ראשׁית֜;רֵאשִׁית
Hebrew;BR>[;ברא;ברא
Hebrew;>LHJM/;אלהים֜;אֱלֹהִים
Hebrew;>T;את;אֵת
Hebrew;H;ה;הַ
Hebrew;CMJM/;שׁמים֜;שָׁמַיִם
Hebrew;W;ו;וְ
Hebrew;>RY/;ארץ֜;אֶרֶץ
Hebrew;HJH[;היה;היה
Hebrew;THW/;תהו֜;תֹּהוּ
Hebrew;BHW/;בהו֜;בֹּהוּ
Hebrew;XCK/;חשׁך֜;חֹשֶׁךְ
Hebrew;<L;על;עַל
Hebrew;PNH/;פנה֜;פָּנֶה
Hebrew;THWM/;תהום֜;תְּהֹום
Hebrew;RWX/;רוח֜;רוּחַ
Hebrew;RXP[;רחף;רחף
Hebrew;MJM/;מים֜;מַיִם
Hebrew;>MR[;אמר;אמר
Hebrew;>WR/;אור֜;אֹור
Hebrew;R>H[;ראה;ראה
Hebrew;KJ;כי;כִּי
Hebrew;VWB[;טוב;טוב
Hebrew;BDL[;בדל;בדל
Hebrew;BJN/;בין֜;בַּיִן
Hebrew;QR>[;קרא;קרא
Hebrew;L;ל;לְ
Hebrew;JWM/;יום֜;יֹום
Hebrew;LJLH/;לילה֜;לַיְלָה
Hebrew;<RB/;ערב֜;עֶרֶב
Hebrew;BQR=/;בקר֜;בֹּקֶר
Hebrew;>XD/;אחד֜;אֶחָד
Hebrew;RQJ</;רקיע֜;רָקִיעַ
Hebrew;TWK/;תוך֜;תָּוֶךְ
Hebrew;<FH[;עשׂה;עשׂה
Hebrew;>CR;אשׁר;אֲשֶׁר
Hebrew;MN;מן;מִן
Hebrew;TXT/;תחת֜;תַּחַת
Hebrew;KN;כן;כֵּן
Hebrew;CNJ/;שׁני֜;שֵׁנִי
Hebrew;QWH=[;קוה;קוה
Hebrew;>L;אל;אֶל
Hebrew;MQWM/;מקום֜;מָקֹום
Hebrew;JBCH/;יבשׁה֜;יַבָּשָׁה
Hebrew;MQWH/;מקוה֜;מִקְוֶה
Hebrew;JM/;ים֜;יָם
Hebrew;DC>[;דשׁא;דשׁא
Hebrew;DC>/;דשׁא֜;דֶּשֶׁא
Hebrew;<FB/;עשׂב֜;עֵשֶׂב
Hebrew;ZR<[;זרע;זרע
Hebrew;ZR</;זרע֜;זֶרַע
Hebrew;<Y/;עץ֜;עֵץ
Hebrew;PRJ/;פרי֜;פְּרִי
Hebrew;MJN/;מין֜;מִין
Hebrew;JY>[;יצא;יצא
Hebrew;CLJCJ/;שׁלישׁי֜;שְׁלִישִׁי
Hebrew;M>WR/;מאור֜;מָאֹור
Hebrew;>WT/;אות֜;אֹות
Hebrew;MW<D/;מועד֜;מֹועֵד
Hebrew;CNH/;שׁנה֜;שָׁנָה
Hebrew;>WR[;אור;אור
Hebrew;CNJM/;שׁנים֜;שְׁנַיִם
Hebrew;GDWL/;גדול֜;גָּדֹול
Hebrew;MMCLT/;ממשׁלת֜;מֶמְשֶׁלֶת
Hebrew;QVN/;קטן֜;קָטֹן
Hebrew;KWKB/;כוכב֜;כֹּוכָב
Hebrew;NTN[;נתן;נתן
Hebrew;MCL[;משׁל;משׁל
Hebrew;RBJ<J/;רביעי֜;רְבִיעִי
Hebrew;CRY[;שׁרץ;שׁרץ
Hebrew;CRY/;שׁרץ֜;שֶׁרֶץ
Hebrew;NPC/;נפשׁ֜;נֶפֶשׁ
Hebrew;XJ/;חי֜;חַי
Hebrew;<WP/;עוף֜;עֹוף
Hebrew;<WP[;עוף;עוף
Hebrew;TNJN/;תנין֜;תַּנִּין
Hebrew;KL/;כל֜;כֹּל
Hebrew;RMF[;רמשׂ;רמשׂ
Hebrew;KNP/;כנף֜;כָּנָף
Hebrew;BRK[;ברך;ברך
Hebrew;PRH[;פרה;פרה
Hebrew;RBH[;רבה;רבה
Hebrew;ML>[;מלא;מלא
Hebrew;XMJCJ/;חמישׁי֜;חֲמִישִׁי
Hebrew;BHMH/;בהמה֜;בְּהֵמָה
Hebrew;RMF/;רמשׂ֜;רֶמֶשׂ
Hebrew;XJH/;חיה֜;חַיָּה
Hebrew;>DMH/;אדמה֜;אֲדָמָה
Hebrew;>DM/;אדם֜;אָדָם
Hebrew;YLM/;צלם֜;צֶלֶם
Hebrew;K;כ;כְּ
Hebrew;DMWT/;דמות֜;דְּמוּת
Hebrew;RDH[;רדה;רדה
Hebrew;DGH/;דגה֜;דָּגָה
Hebrew;ZKR=/;זכר֜;זָכָר
Hebrew;NQBH/;נקבה֜;נְקֵבָה
Hebrew;KBC[;כבשׁ;כבשׁ
Hebrew;HNH;הנה;הִנֵּה
Hebrew;>KLH/;אכלה֜;אָכְלָה
Hebrew;JRQ/;ירק֜;יֶרֶק
Hebrew;VWB/;טוב֜;טֹוב
Hebrew;M>D/;מאד֜;מְאֹד
Hebrew;CCJ/;שׁשׁי֜;שִׁשִּׁי
Hebrew;KLH[;כלה;כלה
Hebrew;YB>/;צבא֜;צָבָא
Hebrew;CBJ<J/;שׁביעי֜;שְׁבִיעִי
Hebrew;ML>KT/;מלאכת֜;מְלֶאכֶת
