2adom,אָדֹם
2urim_wthummim,אוּרִים וְתֻמִּים
2argwan,אַרְגְּוָן
2argaman,אַרְגָּמָן
2-r-r,ארר
beqa3,בֶּקַע
barad,בָּרָד
b-r-k_2,ברך
brakah,בְּרָכָה
g2ulim,גְּאוּלִים
g-2-l,גאל
g2ullah,גְּאֻלָּה
derek,דֶּרֶךְ
hadom,הֲדֹם
chozeh,חֹזֶה
chashman,חַשְׁמַן
t-w-h,טוה
yshu3ah,יְשׁוּעָה
y-sh-3,ישׁע
yesha3,יֵשַׁע
kli,כְּלִי
kisse2,כִּסֵּא
karmil,כַּרְמִיל
laban,לָבָן
ma2or,מָאוֹר
mgillah,מְגִלָּה
mosha3ah,מוֹשָׁעָה
machareshah,מַחֲרֵשָׁה/מַחֲרֶשֶׁת
mapreqeth,מַפְרֶקֶת
nabi2,נָבִיא/נְבִיאָה
3ezrah,עֶזְרָה
3atarah,עֲטָרָה
p-d-h,פדה
pduyim,פְּדוּיִם
pduth,פְּדוּת
pidyon,פִּדְיוֹן
pelek,פֶּלֶךְ
p-r-q,פרק
pereq,פֶּרֶק
paraq,פָּרָק
ts-l-h,צלה
q-b-b,קבב
ro2eh,רֹאֶה
shoa3,שׁוֹעַ
shua3,שׁוּעַ
shani_1,שָׁנִי
thbunah,תְּבוּנָה
thkeleth,תְּכֵלֶת
thiplah,תִּפְלָה
thshu3ah,תְּשׁוּעָה
